interp_r,interp_d,interp_mp1,interp_mp2,interp_mp3
3440,4.51593,12.13824,20.07469,28.05993
3450,4.519264,12.13947,20.07544,28.06047
3460,4.522605,12.14072,20.07619,28.061
3470,4.525954,12.14196,20.07694,28.06154
3480,4.529309,12.14322,20.0777,28.06208
3490,4.532672,12.14447,20.07846,28.06263
3500,4.536041,12.14573,20.07921,28.06317
3510,4.539419,12.14699,20.07998,28.06372
3520,4.542803,12.14825,20.08074,28.06426
3530,4.546194,12.14952,20.08151,28.06481
3540,4.549592,12.15079,20.08228,28.06536
3550,4.552998,12.15206,20.08305,28.06591
3560,4.55641,12.15334,20.08382,28.06647
3570,4.55983,12.15462,20.08459,28.06702
3580,4.563256,12.15591,20.08537,28.06758
3590,4.566689,12.1572,20.08615,28.06814
3600,4.570129,12.15849,20.08693,28.0687
3610,4.573577,12.15978,20.08772,28.06926
3620,4.577031,12.16108,20.0885,28.06982
3630,4.580492,12.16238,20.08929,28.07038
3640,4.583961,12.16369,20.09008,28.07095
3650,4.587436,12.165,20.09087,28.07152
3660,4.590918,12.16631,20.09167,28.07208
3670,4.594407,12.16763,20.09247,28.07265
3680,4.597902,12.16895,20.09327,28.07323
3690,4.601405,12.17027,20.09407,28.0738
3700,4.604915,12.1716,20.09487,28.07438
3710,4.60843,12.17293,20.09568,28.07495
3720,4.611954,12.17426,20.09649,28.07553
3730,4.615483,12.1756,20.09729,28.07611
3740,4.61902,12.17694,20.09811,28.07669
3750,4.622563,12.17828,20.09892,28.07727
3760,4.626112,12.17963,20.09974,28.07786
3770,4.62967,12.18098,20.10055,28.07844
3780,4.633233,12.18233,20.10137,28.07903
3790,4.636803,12.18369,20.1022,28.07962
3800,4.64038,12.18505,20.10302,28.08021
3810,4.643963,12.18641,20.10385,28.0808
3820,4.647553,12.18778,20.10468,28.0814
3830,4.651151,12.18915,20.10551,28.08199
3840,4.654753,12.19053,20.10634,28.08258
3850,4.658363,12.1919,20.10718,28.08319
3860,4.661979,12.19328,20.10801,28.08378
3870,4.665603,12.19467,20.10885,28.08438
3880,4.669232,12.19606,20.10969,28.08499
3890,4.672869,12.19745,20.11054,28.08559
3900,4.676511,12.19884,20.11139,28.0862
3910,4.680161,12.20024,20.11223,28.08681
3920,4.683816,12.20164,20.11308,28.08741
3930,4.687479,12.20305,20.11394,28.08802
3940,4.691146,12.20446,20.11479,28.08863
3950,4.694822,12.20587,20.11565,28.08925
3960,4.698503,12.20728,20.11651,28.08986
3970,4.702191,12.2087,20.11737,28.09048
3980,4.705885,12.21013,20.11823,28.0911
3990,4.709586,12.21155,20.1191,28.09172
4000,4.713293,12.21298,20.11996,28.09234
4010,4.717006,12.21441,20.12083,28.09296
4020,4.720726,12.21585,20.1217,28.09359
4030,4.724452,12.21729,20.12258,28.09421
