time,frequency,datetime
1571122868.18,16.5428919712,2019-10-15T07:01:08.180000Z
1571122884.01,20.8673816937,2019-10-15T07:01:24.010000Z
1571122886.96,21.6664721859,2019-10-15T07:01:26.960000Z
1571122906.32,17.5456721967,2019-10-15T07:01:46.320000Z
1571122926.09,20.8203763706,2019-10-15T07:02:06.090000Z
1571122928.96,21.1964189552,2019-10-15T07:02:08.960000Z
1571122946.92,18.1410729556,2019-10-15T07:02:26.920000Z
1571122950.61,17.7806988121,2019-10-15T07:02:30.610000Z
1571123042.84,17.7813797866,2019-10-15T07:04:02.840000Z
1571123039.9,17.6602747902,2019-10-15T07:03:59.900000Z
1571123059.77,20.5213803317,2019-10-15T07:04:19.770000Z
1571123063.3,20.5213803317,2019-10-15T07:04:23.300000Z
1571123080.95,16.3129817045,2019-10-15T07:04:40.950000Z
1571123083.89,16.5249154483,2019-10-15T07:04:43.890000Z
1571123100.49,21.8081209191,2019-10-15T07:05:00.490000Z
1571123103.57,20.1732034668,2019-10-15T07:05:03.570000Z
1571123120.89,16.8579541886,2019-10-15T07:05:20.890000Z
1571123123.77,19.5676784845,2019-10-15T07:05:23.770000Z
1571123141.87,22.3833696523,2019-10-15T07:05:41.870000Z
1571123145.08,19.7796122283,2019-10-15T07:05:45.080000Z
1571123162.83,17.314327665,2019-10-15T07:06:02.830000Z
1571123165.41,20.5488965246,2019-10-15T07:06:05.410000Z
1571123182.04,22.9300897702,2019-10-15T07:06:22.040000Z
1571123184.97,20.1497369632,2019-10-15T07:06:24.970000Z
1571123204.47,16.5710650335,2019-10-15T07:06:44.470000Z
1571123207.29,19.1036636299,2019-10-15T07:06:47.290000Z
1571123224.15,21.1820461737,2019-10-15T07:07:04.150000Z
1571123226.96,21.5261492439,2019-10-15T07:07:06.960000Z
1571123242.89,16.6536497703,2019-10-15T07:07:22.890000Z
1571123245.65,18.8283811738,2019-10-15T07:07:25.650000Z
1571123260.99,22.6960996825,2019-10-15T07:07:40.990000Z
1571123264.15,21.5674416123,2019-10-15T07:07:44.150000Z
1571123282.02,17.4918239834,2019-10-15T07:08:02.020000Z
1571123284.82,18.5031856935,2019-10-15T07:08:04.820000Z
1571123302.64,21.6116356555,2019-10-15T07:08:22.640000Z
1571123305.68,20.4515442821,2019-10-15T07:08:25.680000Z
1571123322.31,17.521569916,2019-10-15T07:08:42.310000Z
1571123325.23,17.8785211078,2019-10-15T07:08:45.230000Z
1571123341.38,19.9756093597,2019-10-15T07:09:01.380000Z
1571123344.3,20.674638777,2019-10-15T07:09:04.300000Z
1571123364.09,17.6554266129,2019-10-15T07:09:24.090000Z
1571123379.77,23.2179160186,2019-10-15T07:09:39.770000Z
1571123382.51,22.4296488034,2019-10-15T07:09:42.510000Z
1571123419.86,20.8175130418,2019-10-15T07:10:19.860000Z
1571123423.11,20.5401757763,2019-10-15T07:10:23.110000Z
1571123441.56,18.8272103128,2019-10-15T07:10:41.560000Z
1571123444.68,17.0816169358,2019-10-15T07:10:44.680000Z
1571123460.46,22.628362246,2019-10-15T07:11:00.460000Z
1571123463.71,20.6543734738,2019-10-15T07:11:03.710000Z
