duration,end_epoch,end_time,min_signal,peak_signal,peak_epoch,peak_time,start_epoch,start_time,snr,ambient_snr,peak_frequency,start_frequency,end_frequency,peak_frequency_std,start_frequency_std,end_frequency_std,threshold,max_amp
1.05,,2019-07-15T10:45:28.400000Z,376.879290245,1884.39645123,1563187527.95,2019-07-15T10:45:27.950000Z,,2019-07-15T10:45:27.350000Z,,,21.2357206327,21.2260302597,21.2240144005,,,,350,-145.685382949
0.55,,2019-07-15T10:46:28.000000Z,124.151397544,620.756987719,1563187587.7,2019-07-15T10:46:27.700000Z,,2019-07-15T10:46:27.450000Z,,,20.3775091395,20.3415535356,21.0753165951,,,,350,-147.371147604
0.6,,2019-07-15T10:47:25.650000Z,378.067007072,1890.33503536,1563187645.35,2019-07-15T10:47:25.350000Z,,2019-07-15T10:47:25.050000Z,,,20.9349385551,21.19973341,21.8740533356,,,,350,-147.118527011
0.4,,2019-07-15T10:48:25.750000Z,261.813150246,1309.06575123,1563187705.55,2019-07-15T10:48:25.550000Z,,2019-07-15T10:48:25.350000Z,,,20.6950228609,20.9879911345,20.865336932,,,,350,-146.356610633
0.6,,2019-07-15T10:49:25.800000Z,887.274760994,4436.37380497,1563187765.5,2019-07-15T10:49:25.500000Z,,2019-07-15T10:49:25.200000Z,,,20.8299627249,20.9982436878,21.6129096376,,,,350,-145.890757372
0.5,,2019-07-15T10:50:26.050000Z,291.649666231,1458.24833116,1563187825.8,2019-07-15T10:50:25.800000Z,,2019-07-15T10:50:25.550000Z,,,19.9822473223,20.2822620743,19.4698781482,,,,350,-147.833281264
0.5,,2019-07-15T10:51:27.950000Z,188.021523794,940.107618969,1563187887.7,2019-07-15T10:51:27.700000Z,,2019-07-15T10:51:27.450000Z,,,20.2529985289,20.3912029844,21.1764612577,,,,350,-146.994350836
0.45,,2019-07-15T10:52:21.950000Z,88.6981579264,443.490789632,1563187941.8,2019-07-15T10:52:21.800000Z,,2019-07-15T10:52:21.500000Z,,,18.8426349529,18.7909698661,19.1923038197,,,,350,-145.88115894
0.3,,2019-07-15T10:53:28.200000Z,84.8568423536,424.284211768,1563188008.05,2019-07-15T10:53:28.050000Z,,2019-07-15T10:53:27.900000Z,,,21.0061299729,20.1003025384,21.3701749511,,,,350,-146.299722558
0.5,,2019-07-15T10:54:30.950000Z,261.883288567,1309.41644283,1563188070.75,2019-07-15T10:54:30.750000Z,,2019-07-15T10:54:30.450000Z,,,19.5588378021,19.4462248163,20.1976110025,,,,350,-147.223770433
0.9,,2019-07-15T10:55:28.600000Z,438.759289063,2193.79644531,1563188128.25,2019-07-15T10:55:28.250000Z,,2019-07-15T10:55:27.700000Z,,,20.9730487897,21.2758340624,21.2147794856,,,,350,-144.247831307
0.8,,2019-07-15T10:56:28.400000Z,1180.62037526,5903.10187631,1563188188.0,2019-07-15T10:56:28.000000Z,,2019-07-15T10:56:27.600000Z,,,20.7177428267,20.9940182799,21.1156720141,,,,350,-143.157826864
0.45,,2019-07-15T10:57:28.650000Z,101.375740539,506.878702697,1563188248.5,2019-07-15T10:57:28.500000Z,,2019-07-15T10:57:28.200000Z,,,21.4577466672,21.2232145154,22.1643143627,,,,350,-147.021904499
0.65,,2019-07-15T10:58:28.900000Z,188.626446568,943.132232841,1563188308.4,2019-07-15T10:58:28.400000Z,,2019-07-15T10:58:28.250000Z,,,19.1705709789,19.3486536138,20.1142517009,,,,350,-148.280420558
0.65,,2019-07-15T10:59:26.350000Z,1094.67503562,5473.3751781,1563188366.05,2019-07-15T10:59:26.050000Z,,2019-07-15T10:59:25.700000Z,,,23.1293896544,23.3097334866,23.5464797452,,,,350,-145.092245356
0.45,,2019-07-15T11:00:26.550000Z,600.6889892,3003.444946,1563188426.3,2019-07-15T11:00:26.300000Z,,2019-07-15T11:00:26.100000Z,,,19.2363767819,18.9866279209,19.9033195223,,,,350,-146.664973938
0.65,,2019-07-15T11:01:31.350000Z,220.402720831,1102.01360416,1563188491.1,2019-07-15T11:01:31.100000Z,,2019-07-15T11:01:30.700000Z,,,20.4679978298,20.6055005723,20.8578920374,,,,350,-146.194234382
0.7,,2019-07-15T11:02:26.650000Z,2192.08314769,10960.4157384,1563188546.3,2019-07-15T11:02:26.300000Z,,2019-07-15T11:02:25.950000Z,,,22.8222039504,23.2623998205,23.0814850322,,,,350,-145.182574101
0.6,,2019-07-15T11:03:26.450000Z,399.616904349,1998.08452174,1563188606.2,2019-07-15T11:03:26.200000Z,,2019-07-15T11:03:25.850000Z,,,20.3590388985,20.560404028,20.4161217965,,,,350,-145.522148044
0.6,,2019-07-15T11:04:26.700000Z,522.099893408,2610.49946704,1563188666.45,2019-07-15T11:04:26.450000Z,,2019-07-15T11:04:26.100000Z,,,21.0958421485,21.5851574602,22.0898955658,,,,350,-145.435501255
0.65,,2019-07-15T11:05:26.700000Z,699.580938814,3497.90469407,1563188726.4,2019-07-15T11:05:26.400000Z,,2019-07-15T11:05:26.050000Z,,,22.4759830462,22.7398793138,23.0061866757,,,,350,-146.836563112
0.6,,2019-07-15T11:06:32.250000Z,218.922405916,1094.61202958,1563188791.95,2019-07-15T11:06:31.950000Z,,2019-07-15T11:06:31.650000Z,,,21.3784061816,22.3642096118,21.7455593173,,,,350,-149.158155164
1.1,,2019-07-15T11:07:29.600000Z,549.924689065,2749.62344533,1563188848.8,2019-07-15T11:07:28.800000Z,,2019-07-15T11:07:28.500000Z,,,20.6380170423,20.8201414451,20.8139043867,,,,350,-146.018620625
0.6,,2019-07-15T11:08:26.900000Z,1004.18093537,5020.90467685,1563188906.6,2019-07-15T11:08:26.600000Z,,2019-07-15T11:08:26.300000Z,,,21.3254983328,21.2853465221,22.1210121833,,,,350,-145.330714044
1.05,,2019-07-15T11:09:27.350000Z,1291.64508566,6458.22542831,1563188966.6,2019-07-15T11:09:26.600000Z,,2019-07-15T11:09:26.300000Z,,,22.2311900246,22.6941154351,22.5611890444,,,,350,-144.883767731
