duration,end_epoch,end_time,min_signal,peak_signal,peak_epoch,peak_time,start_epoch,start_time,snr,ambient_snr,peak_frequency,start_frequency,end_frequency,peak_frequency_std,start_frequency_std,end_frequency_std,threshold
0.72,1444097221.92,2015-10-06T02:07:01.920000Z,3.06307905384,15.3153952692,1444097221.52,2015-10-06T02:07:01.520000Z,1444097221.2,2015-10-06T02:07:01.200000Z,,,,,,,,,0.5
0.6,1444097227.08,2015-10-06T02:07:07.080000Z,4.59373121064,22.9686560532,1444097226.8,2015-10-06T02:07:06.800000Z,1444097226.48,2015-10-06T02:07:06.480000Z,,,,,,,,,0.5
0.88,1444097234.0,2015-10-06T02:07:14.000000Z,3.95243026891,12.7161022779,1444097233.4,2015-10-06T02:07:13.400000Z,1444097233.12,2015-10-06T02:07:13.120000Z,,,,,,,,,0.5
0.56,1444097239.8,2015-10-06T02:07:19.800000Z,2.5622815598,12.811407799,1444097239.6,2015-10-06T02:07:19.600000Z,1444097239.24,2015-10-06T02:07:19.240000Z,,,,,,,,,0.5
1.36,1444097250.0,2015-10-06T02:07:30.000000Z,8.50799559211,42.5399779605,1444097249.0,2015-10-06T02:07:29.000000Z,1444097248.64,2015-10-06T02:07:28.640000Z,,,,,,,,,0.5
0.84,1444097257.16,2015-10-06T02:07:37.160000Z,7.60436793533,30.1654149291,1444097256.64,2015-10-06T02:07:36.640000Z,1444097256.32,2015-10-06T02:07:36.320000Z,,,,,,,,,0.5
0.6,1444097262.04,2015-10-06T02:07:42.040000Z,218.923095057,1094.61547529,1444097261.76,2015-10-06T02:07:41.760000Z,1444097261.44,2015-10-06T02:07:41.440000Z,,,,,,,,,0.5
0.56,1444097267.48,2015-10-06T02:07:47.480000Z,8.92905679739,44.645283987,1444097267.28,2015-10-06T02:07:47.280000Z,1444097266.92,2015-10-06T02:07:46.920000Z,,,,,,,,,0.5
0.44,1444097274.28,2015-10-06T02:07:54.280000Z,6.21580693664,31.0790346832,1444097274.08,2015-10-06T02:07:54.080000Z,1444097273.84,2015-10-06T02:07:53.840000Z,,,,,,,,,0.5
0.8,1444097280.6,2015-10-06T02:08:00.600000Z,421.901792361,2109.5089618,1444097280.04,2015-10-06T02:08:00.040000Z,1444097279.8,2015-10-06T02:07:59.800000Z,,,,,,,,,0.5
0.52,1444097287.2,2015-10-06T02:08:07.200000Z,5.97644646544,29.8822323272,1444097286.96,2015-10-06T02:08:06.960000Z,1444097286.68,2015-10-06T02:08:06.680000Z,,,,,,,,,0.5
