time,frequency
1450270971.02,16.9122883573
1450270981.75,22.4877836036
1450270984.53,21.427413342
1450270987.74,21.2905913728
1450271004.77,17.322754265
1450271007.63,16.8609801188
1450271011.04,16.8267746265
1450271050.97,17.2921039519
1450271053.92,16.6699644992
1450271056.6,20.2554523975
1450271067.7,20.7466151233
1450271070.45,20.6156383965
1450271073.84,20.7957313959
1450271086.91,17.275731861
1450271089.93,16.7027086809
1450271092.8,18.2580573126
1450271103.26,22.6130334814
1450271106.47,21.0904290314
1450271109.52,21.4014987577
1450271124.4,17.2643796427
1450271127.47,16.8029302322
1450271130.46,16.5392448548
1450271141.42,22.5710478632
1450271144.26,23.0324972737
1450271147.36,22.8841742489
1450271151.2,21.7635113949
1450271154.98,21.3515029927
1450271165.41,17.3138206509
1450271168.45,16.8688515765
1450271171.65,17.1160566179
1450271198.79,17.3123491923
1450271201.78,16.8447298038
1450271204.52,17.1911145361
1450271211.36,22.4908009394
1450271214.18,23.3740820066
1450271217.51,20.810834988
1450271229.57,17.3469876656
1450271232.22,16.879368277
1450271235.25,18.4207803355
1450271339.77,17.3470265662
1450271342.58,16.847989
1450271345.8,19.4171083223
1450271355.84,22.6516110661
1450271359.18,21.209946986
1450271362.06,23.2245801236
1450271366.47,21.3023613501
1450271372.62,17.3100608206
1450271381.72,22.7255425574
1450271384.56,23.3169944877
1450271387.87,23.4463745975
1450271392.16,21.5611215696
1450271390.87,17.1252320923
1450271414.86,17.1661023822
1450271421.4,22.5140579133
1450271424.09,23.6924209965
1450271427.27,20.8824782598
1450271430.69,22.1877419826
1450271437.89,22.550315239
1450271440.78,23.0579177978
1450271443.95,23.039789135
1450271447.43,22.4415432621
1450271456.87,17.2930030219
1450271459.78,17.9637635462
1450271464.97,22.5499872533
1450271467.73,23.0831130611
1450271470.89,22.4966746725
1450271475.76,21.5370482184
1450271480.86,22.5499872533
1450271483.84,23.2963633843
1450271487.09,21.5725899389
1450271491.41,20.4885674629
1450271506.15,17.2187291748
1450271508.94,18.729252297
1450271512.35,18.6759397162
1450271523.39,22.4686766225
1450271526.47,20.2169058726
1450271529.51,20.4280093804
1450271540.12,17.2614567633
1450271547.78,22.6621881713
1450271550.73,20.6567048472
1450271554.07,20.6918887651
1450271563.47,22.6239629317
1450271566.47,20.8444319214
1450271569.48,24.3127015435
1450271581.41,17.2672114211
1450271584.22,16.9766757459
1450271587.39,17.212735982
1450271597.34,22.5150120535
1450271600.48,23.5318869165
1450271603.45,22.605804452
1450271607.78,21.6978804671
1450271629.03,17.328157123
1450271632.22,17.855796625
1450271635.58,16.5696753389
1450271646.5,22.5550859397
1450271649.55,22.489131002
1450271652.74,21.3843857946
1450271682.02,17.4435782641
1450271684.69,19.9333771641
1450271688.18,16.6026528078
1450271720.65,17.4004034224
1450271723.67,18.9211835512
1450271726.9,18.7913608573
1450271737.73,22.5005806837
1450271741.07,21.1281693479
1450271744.24,20.9241622575
1450271755.02,17.344765125
1450271758.06,17.8826019998
1450271770.1,22.3904073135
1450271773.23,20.2160411831
1450271776.29,23.5881513684
1450271789.05,22.5746756296
1450271792.28,20.363455836
1450271795.2,23.367029389
1450271799.12,22.4456878083
1450271779.92,22.2798463238
1450271813.75,22.539163726
1450271816.61,23.1472491692
1450271820.05,23.8658956022
1450271823.37,22.6681515473
1450271831.21,22.4838832311
1450271834.13,23.1472491692
1450271837.33,23.2578101589
1450271841.2,22.7234320421
1450271852.42,17.3796508742
1450271855.42,17.914028991
1450271859.14,16.7899922625
1450271863.21,16.7899922625
1450271845.66,21.3782733343
1450271870.04,22.4372794483
1450271873.19,21.0216038201
1450271876.6,21.344162824
1450271880.12,21.3083229347
1450271889.62,17.2046556076
1450271892.71,16.7924968804
1450271896.18,17.2046556076
1450271906.85,22.4731193376
1450271909.74,21.2008032667
1450271913.21,21.4696024366
1450271916.84,21.5950420493
1450271923.78,29.1184371184
1450271929.55,17.3420816058
1450271932.72,16.8300661487
1450271936.33,16.8111026133
1450271946.83,22.5949809247
1450271950.17,21.3054605143
1450271953.58,19.9969765684
1450271957.16,21.7985124359
1450271972.39,17.3610451413
1450271975.01,18.6505655517
1450271978.42,19.428070505
1450272122.1,16.0547720704
1450272137.94,22.6002899604
1450272140.64,24.6914554162
1450272144.33,21.5802092503
1450272147.98,22.9913208993
1450272155.34,17.2108635419
1450272161.99,22.5152832346
1450272164.99,23.5013612544
1450272168.51,22.6682953411
1450272178.67,22.5940201944
1450272181.4,23.1502942238
1450272184.92,21.2123072825
1450272209.68,15.9821454024
1450272212.66,16.7212740301
1450272215.51,20.1284767283
1450272224.45,22.4900828312
1450272227.41,23.2472389864
1450272231.1,19.8760913432
1450272242.83,17.2440723277
1450272245.78,18.794439693
1450272259.56,22.476842999
1450272262.4,23.7120337142
1450272266.05,21.3716723591
1450272276.08,22.5418530367
1450272279.13,23.9558213554
1450272282.64,21.5016924344
1450272294.83,17.2922924969
1450272297.99,18.3974631369
1450272301.47,18.6087457592
1450272311.69,19.7435734153
1450272314.33,23.1030170329
1450272317.88,21.5048351178
1450272329.56,16.0416622444
1450272332.64,17.3136845851
1450272335.97,17.1016808616
1450272346.4,22.5485457562
1450272349.69,22.2876180966
1450272352.85,21.7331468199
1450272365.01,17.1832207553
1450272368.08,17.0853728829
1450272371.41,17.1669127765
1450272390.86,17.325690225
1450272394.22,17.308189656
1450272397.62,16.6431680337
1450272405.2,21.8583375979
1450272408.11,23.2233819805
1450272411.75,22.8033683243
1450272420.52,15.8206412904
1450272423.26,17.8157061572
1450272427.03,16.9231771379
1450272440.02,22.4008552372
1450272442.72,24.1159109999
1450272446.24,23.3108848256
1450272560.25,15.9036996565
1450272562.85,18.2683565719
1450272566.26,17.20426096
1450272579.15,22.2038212952
1450272582.08,23.0314512156
1450272586.41,20.9877120245
1450272590.35,21.224177716
1450272606.0,23.1885270165
1450272621.98,22.3484516858
1450272624.91,24.0286023472
1450272609.85,23.8710882227
1450272613.12,23.8710882227
1450272628.61,21.4908747857
1450272644.83,17.3255012709
1450272648.16,17.0454761607
1450272651.46,16.6604416341
1450272661.03,21.6179828699
1450272664.23,21.2139197914
1450272667.94,21.5048452079
1450272671.18,21.4725201616
1450272682.17,17.1732890061
1450272685.01,18.660241135
1450272688.36,17.3187517143
1450272692.2,16.5752756498
1450272699.03,21.9089082864
1450272702.23,20.9714819442
1450272705.87,21.1815947451
1450272709.18,21.1977572682
1450272721.01,15.912612201
1450272723.69,16.9146886358
1450272727.16,18.8380288896
1450272736.5,21.7248980779
1450272739.93,20.387449288
1450272743.54,21.8804153791
1450272746.89,20.5429665891
1450272758.09,17.2148963444
1450272760.93,18.910034927
1450272775.09,21.600484237
1450272778.31,21.0717254131
1450272782.26,22.2536569019
1450272786.3,21.7871049984
1450272796.09,17.2304480745
1450272799.18,18.8322762764
1450272802.74,17.0904825035
1450272806.22,16.5928271398
1450272812.81,21.8540778664
1450272815.98,21.5233099509
1450272819.6,21.4782052352
1450272823.13,21.2827514669
1450272825.96,21.2677165617
1450272834.33,18.9373062483
1450272837.7,17.463885534
1450272841.07,18.4862590909
1450272844.9,17.1932572396
1450272851.55,21.6135193824
1450272854.8,21.042192983
1450272858.71,20.3054826258
1450272862.33,20.6963901623
1450272865.78,21.102332604
1450272872.32,17.2233270501
1450272875.44,18.3058402279
1450272879.18,16.8023497032
1450272888.71,21.7134750737
1450272891.71,20.6126381051
1450272895.72,21.2948469308
1450272899.07,20.2250194542
1450272908.12,17.2015939771
1450272911.43,16.9070038024
1450272914.9,17.0465465167
1450272918.6,16.4883756594
1450272924.13,21.6824655817
1450272927.37,21.2948469308
1450272931.11,21.1397994704
1450272944.24,17.3411366914
1450272947.12,18.5970211204
1450272951.25,17.5116888978
1450272960.87,21.6165894983
1450272964.28,20.4383697518
1450272967.53,21.9186971256
1450272983.78,17.145396614
1450272986.7,18.9429369965
1450273016.23,17.0687920098
1450273019.32,16.9062505889
1450273022.64,19.1670539894
1450273033.0,21.6642812749
1450273036.17,22.6395298006
1450273039.84,21.2357629833
1450273050.11,17.1426744739
1450273053.78,16.817591632
1450273056.8,19.831996166
1450273066.81,21.6199517964
1450273069.86,23.3635779485
1450273073.49,21.2357629833
1450273087.98,15.8946040846
1450273090.65,17.2983709019
1450273094.03,17.8598776288
1450273103.72,21.5983303106
1450273107.13,20.7708467131
1450273110.47,20.6378582777
1450273128.1,17.1062764953
1450273131.19,16.9289585815
1450273134.44,17.283594409
1450273146.58,21.6647364332
1450273149.67,21.4132776429
1450273153.24,20.4703071794
1450273164.9,21.5861555612
1450273168.26,21.3661291197
1450273171.36,21.5861555612
1450273175.36,20.9732247599
1450273187.81,21.6018717356
1450273191.06,21.6018717356
1450273194.27,21.5547232124
1450273208.44,15.8442388725
1450273211.1,18.2690267469
1450273214.64,18.4974487931
1450273223.84,21.6075028059
1450273226.88,22.8374676697
1450273230.27,21.8183539254
1450273243.76,15.8442388725
1450273246.5,17.3201967091
1450273249.77,19.9734066297
1450273260.26,21.6075028059
1450273263.53,21.1682296402
1450273266.73,21.3615098331
1450273296.04,21.5816970629
1450273299.1,21.8441161144
1450273302.72,20.761637527
1450273317.99,15.8904838839
1450273320.79,16.8253517548
1450273324.23,17.2353815227
1450273336.24,21.4841205555
1450273339.15,20.4358131895
1450273342.77,22.3313826733
1450273354.72,21.4841205555
1450273357.7,20.7804621866
1450273361.13,21.2830753073
1450273370.42,21.5128413053
1450273373.48,21.1251111836
1450273376.88,21.4123186812
1450273390.52,15.8836210184
1450273393.09,18.6434013466
1450273396.61,17.2801363652
1450273400.37,17.6957659327
1450273410.61,18.5436502504
1450273413.94,18.344148058
1450273417.53,21.4696824057
1450273527.44,16.6841792523
1450273530.71,16.777384805
1450273543.23,21.5495091039
1450273546.62,21.1207635614
1450273550.05,21.7732024304
1450273562.73,16.5164092574
1450273565.5,16.9078725788
1450273569.24,16.6655381418
1450273577.48,21.5681502145
1450273580.6,21.4190213301
1450273584.22,21.0461991193
1450273596.4,16.6456619643
1450273599.33,18.1962837951
1450273603.18,16.6280412617
1450273613.56,21.5265965907
1450273616.83,23.0243563136
1450273620.6,21.1741825383
1450273638.61,16.663282667
1450273641.32,18.9187326026
1450273645.3,16.7866275853
1450273654.54,21.5970794012
1450273657.55,21.138941133
1450273661.28,20.5045958386
1450273673.47,16.61135697
1450273676.6,18.0154382682
1450273680.23,17.7868668941
1450273688.37,21.5256415138
1450273691.54,20.3011520095
1450273695.17,20.6766621242
1450273708.55,16.5950304433
1450273711.52,18.2603361691
1450273715.22,16.7093161304
1450273733.14,16.5991758505
1450273735.83,19.4917585363
1450273739.71,16.8667716055
1450273768.1,16.6628891255
1450273770.86,20.4219723516
1450273774.75,17.2617939107
1451016019.07,20.9388287007
1451016022.43,17.1702557054
1451016014.52,18.4869860291
1451016032.43,21.1507163389
1451016036.42,21.0599073511
1451016039.98,22.0588062173
1451016056.21,16.9886377298
1451016059.64,21.0750421824
1451016073.28,21.1507163389
1451016068.8,21.6198961094
1451016076.36,20.3485702797
1451016079.72,21.3171994833
1451016088.95,18.3053680534
1451016092.94,18.3961770412
1451016096.72,17.049177055
1451016105.95,21.6198961094
1451016110.29,21.2869298207
1451016113.85,19.4102107387
1451016128.12,18.3205028847
1451016124.84,16.6859411036
1451016131.83,17.2761995246
1451016141.05,21.5756987848
1451016145.23,22.3409379034
1451016148.48,22.6688975256
1451016164.38,19.5259511459
1451016181.31,20.9607744931
1451016177.91,21.5893637691
1451016184.82,21.5483688163
1451016161.13,19.6489360042
1451016200.57,19.4166312718
1451016197.52,19.5122861616
1451016217.91,20.8651196033
1451016214.61,21.480043895
1451016221.22,21.4527139265
1451016236.31,19.3737128863
1451016253.0,22.2598953601
1451016250.83,21.2842843831
1451016256.6,20.7287281323
1451016233.71,18.3439012994
1451016239.68,18.4387523667
1451016269.3,17.9102964208
1451016275.02,17.151487883
1451016289.45,22.7070503913
1451016286.13,22.3682965798
1451016292.43,20.66097737
1451016304.74,17.8018952011
1451016310.13,17.2463389503
1451016374.18,16.6984721239
1451016376.95,17.4210856781
1451016379.88,17.1226148622
1451016394.22,21.4111692165
1451016391.37,21.5682591195
1451016389.07,21.5054231583
1451016397.31,21.4268782068
1451016413.54,18.0965722613
1451016411.01,16.4942552499
1451016417.11,17.3111227459
1451016408.4,20.2487039336
1451016425.42,21.5211321486
1451016430.1,21.7096400323
1451016433.82,22.7935603636
1451016451.09,16.5570912111
1451016446.25,18.2222441838
1451016453.22,17.5781755812
1451016462.41,21.3483332552
1451016466.93,21.3640422455
1451016473.5,21.7253490226
1451016496.78,16.5728002014
1451016500.82,16.9812339494
1451016907.81,16.7961349078
1451016912.62,19.6903600243
1451016923.18,20.3794612425
1451016927.59,19.7209867451
1451016930.72,21.4054563896
1451016944.81,16.6736280246
1451016947.32,18.9093786437
1451016950.51,17.4239826844
1451016959.96,21.1757559835
1451016964.43,22.1864377702
1451016967.89,21.4360831104
1451016983.82,18.6031114356
1451016987.06,17.1330288367
1451016980.52,18.2662175067
1451016996.4,20.1650741968
1451017000.48,21.8189171205
1451017003.94,21.5585899936
1451017021.57,19.2477096725
1451017018.88,17.6356840023
1451017024.43,17.6497016168
1451017034.2,21.1821404769
1451017038.67,21.6727569852
1451017041.94,20.2009074602
1451017057.35,19.528061963
1451017054.33,18.4206704156
1451017060.74,18.350582343
1451017074.66,21.6026689126
1451017069.98,22.4997962421
1451017077.77,20.2289426892
1451017090.93,16.6965038291
1451017093.3,19.7803790244
1451017096.36,18.4487056447
1451017110.56,21.3958443111
1451017106.45,21.4844733293
1451017113.85,20.6129546501
1451017127.88,16.7723638607
1451017146.24,22.592336057
1451017141.78,21.4844733293
1451017149.53,21.8980754143
1451017166.41,19.0767183343
1451017169.57,19.1801188556
1451017179.31,20.0959520439
1451017183.3,22.0310189416
1451017186.85,21.1595002625
1451017220.18,21.6571978306
1451017215.83,21.4435078467
1451017223.59,21.1147540255
1451017238.01,16.4957628369
1451017240.48,19.7011125941
1451017257.32,21.4599455378
1451017253.69,20.1449302528
1451017261.01,21.2791309361
1451017263.87,21.7229485948
1451017276.52,19.6024864477
1451017274.05,16.5779512922
1451017294.46,21.4599455378
1451017290.34,21.4763832289
1451017297.16,24.0077876525
1451017313.45,19.1257934069
1451017310.69,16.528638219
1451017316.2,16.775203585
1451017333.38,21.5024302707
1451017330.75,19.6089648097
1451017327.74,21.5184765882
1451017349.34,19.1275752857
1451017347.14,16.6403960785
1451017369.54,21.5024302707
1451017364.81,21.5666155406
1451017367.07,19.2078068731
1451017388.77,19.1275752857
1451017385.82,19.0633900159
